Speed,collisionCars,collisionPedestrians,collisionOther,isOffRoad

8890.882,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

Speed,collisionCars,collisionPedestrians,collisionOther,isOffRoad

8890.882,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

Speed,collisionCars,collisionPedestrians,collisionOther,isOffRoad

8890.882,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

0,0,0,0,False

